"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 28 16:58:33 CST 2020","Fri Aug 28 16:58:38 CST 2020","5223","case.mis_case","test_end","TestEnd","","","test_end",""
"passed","Fri Aug 28 16:58:14 CST 2020","Fri Aug 28 16:58:14 CST 2020","0","case.mis_case","test_begin","TestBegin","","","test_begin",""
"passed","Fri Aug 28 16:57:57 CST 2020","Fri Aug 28 16:57:58 CST 2020","839","case.mp_case","test_mp_login","TestMpLogin","","","test_mp_login",""
"passed","Fri Aug 28 16:57:59 CST 2020","Fri Aug 28 16:58:08 CST 2020","9541","case.mp_case","test_pub_artical","TestPubArtical","","","test_pub_ari[BJ23_TESTER_NB_{}-很想找一份月薪2W的工作！！光头也帅！！！-软件测试-新增文章成功]",""
"passed","Fri Aug 28 16:58:08 CST 2020","Fri Aug 28 16:58:14 CST 2020","5181","case.mp_case","test_end","TestEnd","","","test_end",""
"passed","Fri Aug 28 16:57:49 CST 2020","Fri Aug 28 16:57:49 CST 2020","0","case.mp_case","test_begin","TestBegin","","","test_begin",""
"passed","Fri Aug 28 16:58:23 CST 2020","Fri Aug 28 16:58:33 CST 2020","10004","case.mis_case","test_artical_manage","TestArticleMana","","","test_ari_pass",""
"passed","Fri Aug 28 16:58:22 CST 2020","Fri Aug 28 16:58:23 CST 2020","336","case.mis_case","test_mis_login","TestMisLogin","","","test_mis_login",""
